z,H,sigma_H
0.07,0.985714285714,0.28
0.09,0.985714285714,0.171428571429
0.12,0.98,0.374285714286
0.17,1.18571428571,0.114285714286
0.179,1.07142857143,0.0571428571429
0.199,1.07142857143,0.0714285714286
0.2,1.04142857143,0.422857142857
0.27,1.1,0.2
0.28,1.26857142857,0.522857142857
0.352,1.18571428571,0.2
0.38,1.18571428571,0.192857142857
0.4,1.35714285714,0.242857142857
0.4004,1.1,0.145714285714
0.425,1.24428571429,0.16
0.445,1.32571428571,0.184285714286
0.47,1.27142857143,0.708571428571
0.4783,1.15571428571,0.128571428571
0.48,1.38571428571,0.885714285714
0.593,1.48571428571,0.185714285714
0.68,1.31428571429,0.114285714286
0.75,1.41142857143,0.48
0.781,1.5,0.171428571429
0.875,1.78571428571,0.242857142857
0.88,1.28571428571,0.571428571429
0.9,1.67142857143,0.328571428571
