z,H,sigma_H
0.07,6.040204488244632e-61,1.7157682314434028e-61
0.09,6.040204488244632e-61,1.050470345781675e-61
0.12,6.005188810051909e-61,2.293526921623324e-61
0.17,7.26575322498992e-61,7.003135638544501e-62
0.179,6.56543966113547e-61,3.5015678192722505e-62
0.199,6.56543966113547e-61,4.376959774090313e-62
0.2,6.381607350623677e-61,2.5911601862614656e-61
0.27,6.740518052099082e-61,1.2255487367452876e-61
0.28,7.773480558784395e-61,3.203934554634109e-61
0.352,7.26575322498992e-61,1.2255487367452876e-61
0.38,7.26575322498992e-61,1.1817791390043846e-61
0.4,8.316223570771594e-61,1.4881663231907065e-61
0.4004,6.740518052099082e-61,8.928997939144238e-62
0.425,7.624663926465325e-61,9.8043898939623e-62
0.445,8.123637340711621e-61,1.1292556217153009e-61
0.47,7.790988397880758e-61,4.3419440958975906e-61
0.4783,7.081920914478127e-61,7.878527593362564e-62
0.48,8.491301961735208e-61,5.4274301198719886e-61
0.593,9.104076330107851e-61,1.1380095412634814e-61
0.68,8.053605984326176e-61,7.003135638544501e-62
0.75,8.648872513602458e-61,2.9413169681886904e-61
0.781,9.191615525589657e-61,1.050470345781675e-61
0.875,1.0942399435225783e-60,1.4881663231907065e-61
0.88,7.878527593362564e-61,3.501567819272251e-61
0.9,1.0242085871371333e-60,2.013401496081544e-61
